"Country","Region","Happiness.Rank","Happiness.Score","Economy..GDP.per.Capita.","Family","Health..Life.Expectancy.","Freedom","Trust..Government.Corruption.","Generosity","Dystopia.Residual","Happinness State"
"Chile","Latin America and Caribbean","20","6.6519999504089","1.2527846097946","1.2840249538422","0.8194797039032","0.37689527869224","0.082287982106209","0.3266624212265","2.5095858573914","Very Happy"
"China","Eastern Asia","79","5.2729997634888","1.0811657905579","1.1608374118805","0.74141550064087","0.47278770804405","0.022794274613261","0.028806841000915","1.7649385929108","Happy"
"Colombia","Latin America and Caribbean","36","6.356999874115","1.0706223249435","1.4021829366684","0.59502792358398","0.4774874150753","0.046668741852045","0.14901447296143","2.6160681247711","Happy"
"Congo (Brazzaville)","Sub-Saharan Africa","124","4.2909998893738","0.80896425247192","0.83204436302185","0.28995743393898","0.43502587080002","0.079618133604527","0.12085212767124","1.7241356372833","Happy"
"Congo (Kinshasa)","Sub-Saharan Africa","126","4.2800002098083","0.092102348804474","1.2290234565735","0.19140702486038","0.23596134781837","0.060241356492042","0.24645583331585","2.2249586582184","Happy"
"Costa Rica","Latin America and Caribbean","12","7.0789999961853","1.1097062826157","1.4164036512375","0.75950926542282","0.58013164997101","0.10010658949614","0.21461322903633","2.8986392021179","Very Happy"
"Croatia","Central and Eastern Europe","77","5.2930002212524","1.2225562334061","0.96798300743103","0.70128852128982","0.25577229261398","0.043103110045195","0.24800297617912","1.8544924259186","Happy"
"Cyprus","Western Europe","65","5.6209998130798","1.355938076973","1.1313632726669","0.84471470117569","0.35511153936386","0.041237976402044","0.27125430107117","1.6212491989136","Happy"
"Czech Republic","Central and Eastern Europe","23","6.6090002059936","1.352682352066","1.433885216713","0.75444400310516","0.49094617366791","0.036872927099466","0.088106758892536","2.4518618583679","Very Happy"
"Denmark","Western Europe","2","7.521999835968","1.4823830127716","1.5511215925217","0.79256552457809","0.62600672245026","0.40077006816864","0.35528048872948","2.3137073516846","Very Happy"
